Rank,Title,Employees,Sector,Industry,Hqlocation,Revenues,Profits
310,eBay,12600,Technology,Internet Services and Retailing,"San Jose, CA",8979,7266
311,Mohawk Industries,37800,Household Products,"Home Equipment, Furnishings","Calhoun, GA",8959,930.4
312,Oneok,2384,Energy,Pipelines,"Tulsa, OK",8921,352
313,Frontier Communications,28332,Telecommunications,Telecommunications,"Norwalk, CT",8896,-373
314,Netflix,3850,Technology,Internet Services and Retailing,"Los Gatos, CA",8831,186.7
315,American Family Insurance Group,10471,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",8829,325.6
316,Thrivent Financial for Lutherans,3282,Financials,"Insurance: Life, Health (Mutual)","Minneapolis, MN",8777,587.8
317,Expedia,20075,Technology,Internet Services and Retailing,"Bellevue, WA",8774,281.8
318,Lithia Motors,11170,Retailing,"Automotive Retailing, Services","Medford, OR",8678,197.1
319,Avis Budget Group,25600,Retailing,"Automotive Retailing, Services","Parsippany, NJ",8659,163
320,Reliance Steel & Aluminum,14500,Materials,Metals,"Los Angeles, CA",8613,304.3
321,GameStop,41750,Retailing,Specialty Retailers: Other,"Grapevine, TX",8608,353.2
322,Tenneco,31000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, IL",8599,363
323,O’Reilly Automotive,58397,Retailing,Specialty Retailers: Other,"Springfield, MO",8593,1037.7
324,Peter Kiewit Sons’,20000,Engineering & Construction,"Engineering, Construction","Omaha, NE",8573,396
325,United Natural Foods,9554,Wholesalers,Wholesalers: Food and Grocery,"Providence, RI",8470,125.8
326,salesforce.com,25000,Technology,Computer Software,"San Francisco, CA",8392,179.6
327,Boston Scientific,27000,Health Care,Medical Products and Equipment,"Marlborough, MA",8386,347
328,Newmont Mining,12438,Energy,"Mining, Crude-Oil Production","Greenwood Village, CO",8379,-627
329,Genworth Financial,3400,Financials,"Insurance: Life, Health (Stock)","Richmond, VA",8369,-277
330,Live Nation Entertainment,11500,Media,Entertainment,"Beverly Hills, CA",8355,2.9
331,Veritiv,8700,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",8327,21
332,News Corp.,24000,Media,"Publishing, Printing","New York, NY",8319,179
333,Crown Holdings,23992,Materials,"Packaging, Containers","Philadelphia, PA",8284,496
334,Global Partners,1770,Wholesalers,Wholesalers: Diversified,"Waltham, MA",8240,-199.4
335,PVH,26650,Apparel,Apparel,"New York, NY",8203,549
336,Level 3 Communications,12600,Telecommunications,Telecommunications,"Broomfield, CO",8172,677
337,Navistar International,11300,Industrials,Construction and Farm Machinery,"Lisle, IL",8111,-97
338,Univar,8700,Wholesalers,Wholesalers: Diversified,"Downers Grove, IL",8074,-68.4
339,Campbell Soup,16500,"Food, Beverages & Tobacco",Food Consumer Products,"Camden, NJ",7961,563
340,Dick’s Sporting Goods,27550,Retailing,Specialty Retailers: Other,"Coraopolis, PA",7922,287.4
341,Weyerhaeuser,10400,Materials,Forest and Paper Products,"Seattle, WA",7902,1027
342,Mutual of Omaha Insurance,5732,Financials,"Insurance: Life, Health (Stock)","Omaha, NE",7899,356.6
343,Chesapeake Energy,3300,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",7872,-4401
344,Anadarko Petroleum,4500,Energy,"Mining, Crude-Oil Production","The Woodlands, TX",7869,-3071
345,Interpublic Group,49800,Business Services,"Advertising, Marketing","New York, NY",7847,608.5
346,J.M. Smucker,6910,"Food, Beverages & Tobacco",Food Consumer Products,"Orrville, OH",7811,688.7
347,Steel Dynamics,7695,Materials,Metals,"Fort Wayne, IN",7777,382.1
348,Foot Locker,32965,Retailing,Specialty Retailers: Apparel,"New York, NY",7766,664
349,Western Refining,7134,Energy,Petroleum Refining,"El Paso, TX",7743,124.9
350,SpartanNash,11500,Wholesalers,Wholesalers: Food and Grocery,"Byron Center, MI",7735,56.8
351,Dean Foods,17000,"Food, Beverages & Tobacco",Food Consumer Products,"Dallas, TX",7710,119.9
352,Zimmer Biomet Holdings,18500,Health Care,Medical Products and Equipment,"Warsaw, IN",7684,305.9
353,PulteGroup,4623,Engineering & Construction,Homebuilders,"Atlanta, GA",7669,602.7
354,W.R. Berkley,7608,Financials,Insurance: Property and Casualty (Stock),"Greenwich, CT",7654,601.9
355,Quanta Services,28100,Engineering & Construction,"Engineering, Construction","Houston, TX",7651,198.4
356,EOG Resources,2650,Energy,"Mining, Crude-Oil Production","Houston, TX",7651,-1096.7
357,Charles Schwab,16200,Financials,Securities,"San Francisco, CA",7644,1889
358,Eversource Energy,7762,Energy,Utilities: Gas and Electric,"Springfield, MA",7639,942.3
359,Anixter International,8900,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, IL",7625,120.5
360,EMCOR Group,31000,Engineering & Construction,"Engineering, Construction","Norwalk, CT",7552,181.9
361,Assurant,14700,Financials,Insurance: Property and Casualty (Stock),"New York, NY",7532,565.4
362,CenterPoint Energy,7727,Energy,Utilities: Gas and Electric,"Houston, TX",7528,432
363,Harris,21000,Technology,Network and Other Communications Equipment,"Melbourne, FL",7527,324
364,HD Supply Holdings,14000,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",7524,196
365,PPL,12689,Energy,Utilities: Gas and Electric,"Allentown, PA",7517,1902
366,Quest Diagnostics,43000,Health Care,Health Care: Pharmacy and Other Services,"Madison, NJ",7515,645
367,Williams,5604,Energy,Energy,"Tulsa, OK",7499,-424
368,WEC Energy Group,8074,Energy,Utilities: Gas and Electric,"Milwaukee, WI",7472,939
369,Hershey,17140,"Food, Beverages & Tobacco",Food Consumer Products,"Hershey, PA",7440,720
370,AGCO,19795,Industrials,Construction and Farm Machinery,"Duluth, GA",7411,160.1
371,Ralph Lauren,20500,Apparel,Apparel,"New York, NY",7405,396
372,Masco,26000,Household Products,"Home Equipment, Furnishings","Taylor, MI",7357,491
373,WESCO International,9000,Wholesalers,Wholesalers: Diversified,"Pittsburgh, PA",7336,101.6
374,LifePoint Health,47000,Health Care,Health Care: Medical Facilities,"Brentwood, TN",7274,121.9
375,National Oilwell Varco,36384,Energy,"Oil and Gas Equipment, Services","Houston, TX",7251,-2412
376,Kindred Healthcare,76650,Health Care,Health Care: Medical Facilities,"Louisville, KY",7227,-664.2
377,Mosaic,8700,Chemicals,Chemicals,"Plymouth, MN",7163,297.8
378,Alliance Data Systems,17000,Business Services,Financial Data Services,"Plano, TX",7138,515.8
379,Computer Sciences,59000,Technology,Information Technology Services,"Tysons, VA",7106,251
380,Huntington Ingalls Industries,37000,Aerospace & Defense,Aerospace and Defense,"Newport News, VA",7068,573
381,Leidos Holdings,32000,Technology,Information Technology Services,"Reston, VA",7043,244
382,Erie Insurance Group,4988,Financials,Insurance: Property and Casualty (Mutual),"Erie, PA",7016,741.9
383,Tesla,30025,Motor Vehicles & Parts,Motor Vehicles and Parts,"Palo Alto, CA",7000,-674.9
384,Ascena Retail Group,41000,Retailing,Specialty Retailers: Apparel,"Mahwah, NJ",6995,-11.9
385,Darden Restaurants,150942,"Hotels, Restaurants & Leisure",Food Services,"Orlando, FL",6934,375
386,Harman International Industries,26000,Industrials,"Electronics, Electrical Equipment","Stamford, CT",6912,361.7
387,Nvidia,10299,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",6910,1666
388,R.R. Donnelley & Sons,44360,Media,"Publishing, Printing","Chicago, IL",6896,-495.9
389,Fifth Third Bancorp,17844,Financials,Commercial Banks,"Cincinnati, OH",6889,1564
390,Quintiles IMS Holdings,50000,Health Care,Health Care: Pharmacy and Other Services,"Durham, NC",6878,115
391,Jones Lang LaSalle,77300,Financials,Real Estate,"Chicago, IL",6804,318.2
392,Dover,29000,Industrials,Industrial Machinery,"Downers Grove, IL",6794,508.9
393,Spirit AeroSystems Holdings,14400,Aerospace & Defense,Aerospace and Defense,"Wichita, KS",6793,469.7
394,Ryder System,34500,Transportation,"Trucking, Truck Leasing","Miami, FL",6787,262.5
395,A-Mark Precious Metals,83,Materials,Miscellaneous,"Santa Monica, CA",6784,9.3
396,Tractor Supply,19500,Retailing,Specialty Retailers: Other,"Brentwood, TN",6780,437.1
397,Sealed Air,23000,Materials,"Packaging, Containers","Charlotte, NC",6778,486.4
398,Auto-Owners Insurance,4737,Financials,Insurance: Property and Casualty (Mutual),"Lansing, MI",6775,706.3
399,Yum China Holdings,420000,"Hotels, Restaurants & Leisure",Food Services,"Plano, TX",6752,502
400,Calpine,2372,Energy,Energy,"Houston, TX",6716,92
401,Owens-Illinois,27000,Materials,"Packaging, Containers","Perrysburg, OH",6702,209
402,Targa Resources,1970,Energy,Pipelines,"Houston, TX",6691,-187.3
403,Jones Financial (Edward Jones),43000,Financials,Securities,"Des Peres, MO",6632,746
403,JetBlue Airways,15986,Transportation,Airlines,"Long Island City, NY",6632,759
405,Franklin Resources,9059,Financials,Securities,"San Mateo, CA",6618,1726.7
406,Activision Blizzard,9500,Technology,Computer Software,"Santa Monica, CA",6608,966
407,J.B. Hunt Transport Services,22190,Transportation,"Trucking, Truck Leasing","Lowell, AR",6556,432.1
408,Constellation Brands,9000,"Food, Beverages & Tobacco",Beverages,"Victor, NY",6548,1054.9
409,NCR,33500,Technology,"Computers, Office Equipment","Duluth, GA",6543,270
410,Asbury Automotive Group,7900,Retailing,"Automotive Retailing, Services","Duluth, GA",6528,167.2
411,American Financial Group,7600,Financials,Insurance: Property and Casualty (Stock),"Cincinnati, OH",6498,649
412,Discovery Communications,7000,Media,Entertainment,"Silver Spring, MD",6497,1194
413,Berry Global Group,21000,Materials,"Packaging, Containers","Evansville, IN",6489,236
414,Sanmina,40178,Technology,Semiconductors and Other Electronic Components,"San Jose, CA",6481,187.8
415,CalAtlantic Group,3055,Engineering & Construction,Homebuilders,"Arlington, VA",6477,484.7
416,Dr Pepper Snapple Group,20000,"Food, Beverages & Tobacco",Beverages,"Plano, TX",6440,847
417,Dillard’s,30800,Retailing,General Merchandisers,"Little Rock, AR",6418,169.2
418,HRG Group,16021,Household Products,Household and Personal Products,"New York, NY",6403,-198.8
419,CMS Energy,7750,Energy,Utilities: Gas and Electric,"Jackson, MI",6399,551
420,Graybar Electric,8500,Wholesalers,Wholesalers: Diversified,"St. Louis, MO",6385,93.1
421,Builders FirstSource,14000,Materials,"Building Materials, Glass","Dallas, TX",6367,144.3
422,Yum Brands,90000,"Hotels, Restaurants & Leisure",Food Services,"Louisville, KY",6366,1619
423,Casey’s General Stores,24724,Retailing,Specialty Retailers: Other,"Ankeny, IA",6304,226
424,Amphenol,62000,Technology,Network and Other Communications Equipment,"Wallingford, CT",6286,822.9
425,Oshkosh,13800,Industrials,Construction and Farm Machinery,"Oshkosh, WI",6279,216.4
426,iHeartMedia,18700,Media,Entertainment,"San Antonio, TX",6274,-296.3
427,TreeHouse Foods,16027,"Food, Beverages & Tobacco",Food Consumer Products,"Oak Brook, IL",6175,-228.6
428,Alleghany,3420,Financials,Insurance: Property and Casualty (Stock),"New York, NY",6131,456.9
429,Expeditors International of Washington,16000,Transportation,Transportation and Logistics,"Seattle, WA",6098,430.8
430,Avery Dennison,25000,Materials,"Packaging, Containers","Glendale, CA",6087,320.7
431,Ameren,8629,Energy,Utilities: Gas and Electric,"St. Louis, MO",6076,653
432,Hanesbrands,67800,Apparel,Apparel,"Winston-Salem, NC",6063,539.4
433,Motorola Solutions,14000,Technology,Network and Other Communications Equipment,"Chicago, IL",6038,560
434,St. Jude Medical,18000,Health Care,Medical Products and Equipment,"St. Paul, MN",6004,734
435,Harley-Davidson,6000,Transportation,Transportation Equipment,"Milwaukee, WI",5997,692.2
436,Regions Financial,22166,Financials,Commercial Banks,"Birmingham, AL",5967,1163
437,Intercontinental Exchange,5631,Financials,Securities,"Atlanta, GA",5958,1422
438,Alaska Air Group,19112,Transportation,Airlines,"Seattle, WA",5931,814
439,Old Republic International,8500,Financials,Insurance: Property and Casualty (Stock),"Chicago, IL",5901,466.9
440,Lam Research,7500,Technology,Semiconductors and Other Electronic Components,"Fremont, CA",5886,914
441,AK Steel Holding,8500,Materials,Metals,"West Chester, OH",5883,-7.8
442,Rockwell Automation,22000,Industrials,"Electronics, Electrical Equipment","Milwaukee, WI",5880,729.7
443,Adobe Systems,15706,Technology,Computer Software,"San Jose, CA",5854,1168.8
444,Avon Products,26400,Household Products,Household and Personal Products,"Rye, NY",5853,-107.6
445,Terex,18100,Industrials,Construction and Farm Machinery,"Westport, CT",5841,-176.1
446,NVR,4900,Engineering & Construction,Homebuilders,"Reston, VA",5835,425.3
447,Dana,24900,Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, OH",5826,640
448,Realogy Holdings,11800,Financials,Real Estate,"Madison, NJ",5810,213
449,American Tower,4507,Telecommunications,Telecommunications,"Boston, MA",5786,956.4
450,Packaging Corp. of America,14000,Materials,"Packaging, Containers","Lake Forest, IL",5779,449.6
451,Citizens Financial Group,17600,Financials,Commercial Banks,"Providence, RI",5763,1045
452,United Rentals,12500,Business Services,Miscellaneous,"Stamford, CT",5762,566
453,Clorox,8000,Household Products,Household and Personal Products,"Oakland, CA",5761,648
454,Genesis Healthcare,82000,Health Care,Health Care: Medical Facilities,"Kennett Square, PA",5733,-64
455,M&T Bank Corp.,16487,Financials,Commercial Banks,"Buffalo, NY",5722,1315.1
456,Ingredion,11000,"Food, Beverages & Tobacco",Food Production,"Westchester, IL",5704,484.9
457,UGI,13105,Energy,Energy,"King of Prussia, PA",5686,364.7
458,Owens Corning,16000,Materials,"Building Materials, Glass","Toledo, OH",5677,393
459,S&P Global,20000,Business Services,Financial Data Services,"New York, NY",5661,2106
460,Markel,10900,Financials,Insurance: Property and Casualty (Stock),"Glen Allen, VA",5612,455.7
461,Wyndham Worldwide,37800,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Parsippany, NJ",5599,611
462,Arthur J. Gallagher,24790,Financials,Diversified Financials,"Itasca, IL",5595,414.4
463,Burlington Stores,40000,Retailing,Specialty Retailers: Apparel,"Burlington, NJ",5591,215.9
464,First American Financial,19531,Financials,Insurance: Property and Casualty (Stock),"Santa Ana, CA",5576,343
465,Symantec,11000,Technology,Computer Software,"Mountain View, CA",5568,2488
466,Patterson,7000,Wholesalers,Wholesalers: Health Care,"St. Paul, MN",5555,187.2
467,Olin,6400,Chemicals,Chemicals,"Clayton, MO",5551,-3.9
468,NetApp,12030,Technology,Computer Peripherals,"Sunnyvale, CA",5546,229
469,Raymond James Financial,11900,Financials,Securities,"St. Petersburg, FL",5520,529.4
470,TravelCenters of America,20259,Retailing,Specialty Retailers: Other,"Westlake, OH",5511,-2
471,Fiserv,23000,Business Services,Financial Data Services,"Brookfield, WI",5505,930
472,Host Hotels & Resorts,220,Financials,Real Estate,"Bethesda, MD",5488,762
473,Insight Enterprises,5930,Wholesalers,Wholesalers: Electronics and Office Equipment,"Tempe, AZ",5486,84.7
474,Mattel,32000,Household Products,"Toys, Sporting Goods","El Segundo, CA",5457,318
475,AmTrust Financial Services,8000,Financials,Insurance: Property and Casualty (Stock),"New York, NY",5451,411
476,Cincinnati Financial,4754,Financials,Insurance: Property and Casualty (Stock),"Fairfield, OH",5449,590.7
477,Simon Property Group,4050,Financials,Real Estate,"Indianapolis, IN",5435,1838.9
478,Western Union,10700,Business Services,Financial Data Services,"Englewood, CO",5423,253.2
479,KeyCorp,15700,Financials,Commercial Banks,"Cleveland, OH",5422,791
480,Delek US Holdings,1326,Energy,Petroleum Refining,"Brentwood, TN",5414,-153.7
481,Booz Allen Hamilton Holding,22600,Technology,Information Technology Services,"McLean, VA",5406,294.1
482,Chemours,7000,Chemicals,Chemicals,"Wilmington, DE",5400,7
483,Western & Southern Financial Group,2178,Financials,"Insurance: Life, Health (Mutual)","Cincinnati, OH",5398,241.2
484,Celanese,7293,Chemicals,Chemicals,"Irving, TX",5389,900
485,Windstream Holdings,11870,Telecommunications,Telecommunications,"Little Rock, AR",5387,-383.5
486,Seaboard,11781,"Food, Beverages & Tobacco",Food Production,"Merriam, KS",5379,312
487,Essendant,6600,Wholesalers,Wholesalers: Electronics and Office Equipment,"Deerfield, IL",5369,63.9
488,Apache,3727,Energy,"Mining, Crude-Oil Production","Houston, TX",5354,-1405
489,Airgas,17000,Wholesalers,Wholesalers: Diversified,"Radnor, PA",5314,337.5
490,Kelly Services,7500,Business Services,Temporary Help,"Troy, MI",5277,120.8
491,Liberty Media,3626,Media,Entertainment,"Englewood, CO",5276,680
492,Rockwell Collins,19000,Aerospace & Defense,Aerospace and Defense,"Cedar Rapids, IA",5259,728
493,Robert Half International,16400,Business Services,Temporary Help,"Menlo Park, CA",5250,343.4
494,CH2M Hill,20000,Engineering & Construction,"Engineering, Construction","Englewood, CO",5236,15
495,Big Lots,23150,Retailing,Specialty Retailers: Other,"Columbus, OH",5200,152.8
496,Michaels Cos.,31000,Retailing,Specialty Retailers: Other,"Irving, TX",5197,378.2
497,Toll Brothers,4200,Engineering & Construction,Homebuilders,"Horsham, PA",5170,382.1
498,Yahoo,8500,Technology,Internet Services and Retailing,"Sunnyvale, CA",5169,-214.3
499,Vistra Energy,4431,Energy,Energy,"Dallas, TX",5164,-214.3
500,ABM Industries,110000,Business Services,Diversified Outsourcing Services,"New York, NY",5145,57.2
